experiment,best_final,avg_final,params
mut-001,1567.8460021033666,1996.3537036847367,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.01, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': False, 'seed': 42, 'outdir': 'grid_results\\mut-001', 'genealogy': 'lineage', 'max_edges': 2000}"
mut-003,1571.2762277086867,2042.6996757203524,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': False, 'seed': 42, 'outdir': 'grid_results\\mut-003', 'genealogy': 'lineage', 'max_edges': 2000}"
mut-005,1567.8460021033666,1930.410051854524,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.05, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': False, 'seed': 42, 'outdir': 'grid_results\\mut-005', 'genealogy': 'lineage', 'max_edges': 2000}"
mut-adapt,1571.2762277086867,2092.202524338893,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\mut-adapt', 'genealogy': 'lineage', 'max_edges': 2000}"
sel-tourn,1571.2762277086867,2092.202524338893,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\sel-tourn', 'genealogy': 'lineage', 'max_edges': 2000}"
sel-roul,1592.7657628587342,2801.3869078194284,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'roulette', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\sel-roul', 'genealogy': 'lineage', 'max_edges': 2000}"
xo-ox,1571.2762277086867,2092.202524338893,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\xo-ox', 'genealogy': 'lineage', 'max_edges': 2000}"
xo-pmx,1626.1958935115554,1638.5173662704071,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'PMX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\xo-pmx', 'genealogy': 'lineage', 'max_edges': 2000}"
elit-001,1567.8460021033663,2199.3756184821245,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.01, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\elit-001', 'genealogy': 'lineage', 'max_edges': 2000}"
elit-003,1571.2762277086867,2092.202524338893,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\elit-003', 'genealogy': 'lineage', 'max_edges': 2000}"
pop-050,1571.2762277086867,1965.181284210489,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 50, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\pop-050', 'genealogy': 'lineage', 'max_edges': 2000}"
pop-100,1571.2762277086867,2092.202524338893,"{'flowers': 'flowers.csv', 'generations': 600, 'pop_size': 100, 'selection': 'tournament', 'tournament_k': 3, 'crossover': 'OX', 'mutation_rate': 0.03, 'mutation_op': 'inversion', 'elitism_rate': 0.03, 'adaptive_mutation': True, 'seed': 42, 'outdir': 'grid_results\\pop-100', 'genealogy': 'lineage', 'max_edges': 2000}"
